"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_title_url","Sneaker_brand","Sneaker_brand_url","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url"
"adidas x Jonah Hill Superstar (weiß / grün)","https://www.43einhalb.com/p/adidas-x-jonah-hill-superstar-weiss-gruen-402949","https://43einhalb.com/media/240635/w/616/h/370/n/adidas-fw7577-jonah-hill-superstar-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Releasedate: 11.07.2020 | Online: 00:01 Uhr | Instore: Frankfurt & Fulda.
Wer ist für Dich ein Superstar? »Jemand, den ich bewundere und zu dem ich als Schauspieler und kreativen Mensch aufschaue«
Vom Multitalent der Filmindustrie zum ultimativen Teamplayer – Jonah Hill ist Vorbild für eine neue Generation Filmemacher und Gamechanger.
Zusammen mit Jonah Hill bringt adidas einen neuen Superstar an den Start, dem ein komplett neuer Look verpasst wurde. Der Sneaker findet größtenteils Inspiration von Jonahs Kindheit und wurde so designed, wie er sich seine Fantasieversion von dem Modell vorgestellt hat, als er den Superstar das erste Mal trug.
Der zeitlose Superstar begeistert mit einem Upper aus weißem Leder und einer cremefarbenen Gummisohle. Vor allem die eingestickten Schriftzüge »JH« und »Superstar« in Jonahs Handschrift und der von seinem Tattoo inspirierte gestickte Löwe auf der Innenseite der Tongue verpassen dem Sneaker einen einzigartigen und besonderen Vibe! Die dickeren Laces mit schwarzen Details runden den außergewöhnlichen Look ab.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"New Balance MR530FW1 (weiß)","https://www.43einhalb.com/p/new-balance-mr530fw1-weiss-406589","https://43einhalb.com/media/244829/w/616/h/370/n/new-balance-830361-60-33-mr530fw1-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","New Balance bringt einen weiteren Retro-Runner aus den frühen 2000er zurück!
In den letzten Jahren haben sich Silhouetten aus den späten 90ern und frühen ´00ern zu echten Style-Ikonen entwickelt. Kein Wunder also, dass die Brands fleißig in ihren Archiven kramen und einen Knaller nach dem anderen zurückbringen - so auch New Balance.
Der Sneaker ist ein echtes Ausnahme-Modell aus den New Balance Archiven. Untypisch für NB, aber typisch für die späten 90er ist die Kombination aus einem schlanken Upper und einer klobigen Sohle. Das Upper kommt in weißem Mesh mit Overlays aus Textil und Leder, die die Linien der Silhouette gekonnt unterstreichen. Die weiße ABZORB Zwischensohle wird durch die ebenfalls weiße Außensohle perfekt abgerundet, während die New Balance Brandings auf der Zunge und den Seiten den Look komplettieren.
Mit dem 530 schafft es New Balance wieder einmal einen echten Vintage-Runner mit einer modernen, lässigen Ästhetik auszustatten.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
"Nike SB Blazer Low GT (weiß / gold)","https://www.43einhalb.com/p/nike-sb-blazer-low-gt-weiss-gold-375622","https://43einhalb.com/media/236064/w/616/h/370/n/nike-704939-104-sb-blazer-low-gt-1.jpg","M Challenger ATR 6 GTX (schwarz / gold)","https://www.43einhalb.com/p/hoka-one-one-m-challenger-atr-6-gtx-schwarz-gold-479610","HOKA ONE ONE","https://www.43einhalb.com/p/hoka-one-one-m-challenger-atr-6-gtx-schwarz-gold-479610","Der Nike Blazer ist ein oft unterschätzter Klassiker, der nicht nur wegen seiner Basketballgeschichte in jede Sneaker-Sammlung gehört. Der Blazer kann mit Stolz von sich behaupten, nicht nur einer der ersten Sneaker auf den Basketball-Courts der 70er zu gewesen zu sein, sondern zudem den wohl größten Nike Swoosh zu tragen, der jemals auf einem Nike Sneaker platziert wurde.
Besonders gut gefällt uns die neue Low Version des Blazers. Das flache Profil, der klassische Basketball-Shape und die sorgältig ausgewählten Materialien in Weiß mit goldenen Details sorgen für einen cleanen Look und machen den Schuh zu einem absoluten Liebling für wärmere Tage!
Zu unseren Nike Blazer-Modellen.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"ASICS SportStyle Japan S (weiß / gelb)","https://www.43einhalb.com/p/asics-sportstyle-japan-s-weiss-gelb-404899","https://43einhalb.com/media/239871/w/616/h/370/n/asics-woman-1192a208-103-japan-s-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","","https://43einhalb.com/media/213728/w/240/h/158/n/213728.jpg","https://www.43einhalb.com/marken/asics-sportstyle"
"Puma Mirage OG R.Dassler Legacy Collection (weiß / blau)","https://www.43einhalb.com/p/puma-mirage-og-rdassler-legacy-collection-weiss-blau-436484","https://43einhalb.com/media/237384/w/616/h/370/n/puma-3748876-01-mirage-og-r-dassler-leg-col-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Releasedate: 01.06.2020 | Online: 00:01 Uhr.
Classics are forever!
Mit dieser besonderen Kollektion würdigt Puma seinen Firmengründer und legt drei Klassiker aus mehreren Jahrzehnten Sport- und Streetwear-Geschichte wieder neu auf!
»Rudolf Dassler wollte, dass alle Athleten, die seine Produkte tragen, die Fähigkeiten eines Pumas erlangen - schnell, geschmeidig und wendig. Diese Eigenschaften hat er bei Konzeption und Produktdesign eingebracht, um Athleten erfolgreich zu machen«.
So gingen in den 60er-, 70er- und 80er-Jahren mit diesen Sportschuhen unter anderem Legenden wie die US-Sprinter Tommie Smith und John Carlos sowie die Basketball-Stars Clyde Frazier und Ralph Sampson an den Start. Längst sind aus den Sportschuhen der Vergangenheit urbane Klassiker für die Straße geworden, die in der jetzigen Neuauflage, mit Premiumleder gefertigt und mit dem Original-Branding von Rudolf Dassler versehen, auch eine Hommage an den Sport sind!","https://43einhalb.com/media/59719/w/240/h/158/n/59719.jpg","https://www.43einhalb.com/marken/puma"
"Puma Mirage OG Luxe (weiß / grau)","https://www.43einhalb.com/p/puma-mirage-og-luxe-weiss-grau-436444","https://43einhalb.com/media/237352/w/616/h/370/n/puma-373306-01-mirage-og-luxe-1-kopie.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Releasedate: 01.06.2020 | Online: 00:01 Uhr.
Puma feiert das Comeback des Mirage OG und bringt den legendären Laufschuh in einer straßentauglichen Neuauflage zurück in unsere Regale!
Der Mirage ist seit fast einem halben Jahrhundert fester Bestandteil der Puma Familie. Während der Mirage in den 70ern als Leichtathletikschuh seinen Release feierte, machte die sportliche Silhouette in den 90ern vor allem als leichter Laufschuh von sich Reden. Im Jahr 2020 feiert der Mirage OG nun sein Comeback als coole Lifestyle-Silhouette und liefert die perfekte Ergänzung zu jedem Style.
Der Mirage OG überzeugt weiterhin mit den typischen Features eines funktionalen Runners. So sorgen das leichte Textil-Upper für angenehme Leichtigkeit und die gestanzte EVA-Zwischensohle für optimale Dämpfung. Lässige Suede-Overlays, Formstreifen aus Kunstleder, sowie ein verspieltes Fersendetail liefern on top einen straßentauglichen Look. Hier kommt der Puma Mirage OG Luxe im cleanen Look daher. Das weiß-graue Upper sorgt für einen schlichtes, zeitloses und dennoch absolut starkes Design.","https://43einhalb.com/media/59719/w/240/h/158/n/59719.jpg","https://www.43einhalb.com/marken/puma"
"Saucony Shadow 5000 (rot)","https://www.43einhalb.com/p/saucony-shadow-5000-rot-435982","https://43einhalb.com/media/240951/w/616/h/370/n/saucony-wmns-s60405-38-shadow-5000-1.jpg","ML574SSO (rot)","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","New Balance","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","Aus dem Schatten der Vergangenheit tritt ein Klassiker hervor in eine neue Zukunft: Der Saucony Shadow 5000. Das Original wurde 1989 als Performance-Runner gelauncht. Athletik trifft hier auf Ästhetik. Das Modell repräsentiert authentische Innovation.
Nahezu 30 Jahre später sind seine funktionalen Wurzeln in einen modernen Klassiker ausgewachsen. Das Obermaterial kombiniert Nylon und Wildleder mit einem angenehmen Schaft am Knöchel und einer rutschfesten Gummisohle für unantastbaren Grip.
Der neue Saucony Shadow 5000 kommt in einer starken Farbkombi in Rot, die dem Retro-Klassiker neuen Schwung verleiht. Smarte Materialien hauchen dem Klassiker neues Leben ein und verwandeln ihn in einen modernen Sneaker, der in keiner ernstzunehmenden Sammlung fehlen darf!","https://43einhalb.com/media/46324/w/240/h/158/n/46324.jpg","https://www.43einhalb.com/marken/saucony"
"New Balance WL373BB2 (braun / rosa)","https://www.43einhalb.com/p/new-balance-wl373bb2-braun-rosa-359213","https://43einhalb.com/media/237025/w/616/h/370/n/nb-woman-774751-50-122-wl373bb2-1.jpg","ML574XAA (braun)","https://www.43einhalb.com/p/new-balance-ml574xaa-braun-409515","New Balance","https://www.43einhalb.com/p/new-balance-ml574xaa-braun-409515","Girls, wenn ihr auch noch auf der Suche nach einem echten Casual-Sneaker, seid der einfach zu jedem Outfit passt, dann haben wir hier genau das Richtige für Euch! Der 373 von New Balance ist ein Klassiker im modernen Gewand und besticht durch leichte Materialien und einem eleganten Look.
Der Sneaker erhält durch sein braunes Obermaterial mit rosa Details einen eleganten und feminine Charakter, während die weiß-rosa Zwischensohle und die klassische Gummi-Außensohle für einen angenehmen Kontrast sorgen.
Gefertigt wurde der New Balance WL373CBB2 aus einem feinen Wildleder und bequemen Textil-Materialien, was ihn zu einem bequemen Alltags-Begleiter macht.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
"Nike ACG Mo 3.0 Leather (schwarz)","https://www.43einhalb.com/p/nike-acg-mo-30-leather-schwarz-442626","https://43einhalb.com/media/243839/w/616/h/370/n/nike-ct2896-001-acg-moc-30-leather-1-kopie.jpg","ACG Mo 3.0 Leather (schwarz)","","Nike","","Releasedate: 08.08.2020 | Online: 09:00 Uhr.
Passend für den immer näher kommenden Herbst - für uns die Outdoor Saison schlechthin - kommt der neue Nike ACG Drop in unseren Store.
ACG steht für »All-Conditions-Gear« und hält, was es verspricht. Seit dem ersten Drop im Jahr 1989 bleibt sich Nike mit der ACG Serie treu und bringt auch dieses Mal wieder Performance Technologie in die Outdoor-Welt.
Der Nike ACG MOC 3.0 Leather kommt dieses Mal in einem schlichten Suede-Look um die Ecke und verfügt durch die speziell für Trails entwickelte Außensohle über genug Traktion, damit ihr auch dem schlammigsten Wetter trotzen könnt. Ein weiteres äußerst funktionales Feature ist die gummierte Zehenkappe mit dem eingestickten Mini-Swoosh. Inspiriert wurde dieses Modell übrigens vom Nike Footscape, der bei Turnschuh-Liebhabern vor allem für den hohen Tragekomfort bekannt ist.
Auf der Innenseite des Schuhs befindet sich ein mit einem Mesh-Overlay versehenes Fenster, das für mehr Atmungsaktivität während eurer Outdoor-Aktivitäten sorgt.
Am Heel findet sich ein weiteres klassisch gehaltenes Nike ACG Branding und vervollständig somit diesen cleanen Outdoor-Turnschuh.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Nike Air Cross Trainer 3 Low ""Midnight Navy""","https://www.43einhalb.com/p/nike-air-cross-trainer-3-low-midnight-navy-415572","https://43einhalb.com/media/254405/w/616/h/370/n/nike-cn0924-100-nike-air-cross-trainer-3-low-1-kopie.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Bevor »Athleisure« und »Dad Shoes« in unseren Alltagsjargon Einzug hielten, kam mit dem Fitnessboom in den 80er Jahren die Idee des »Cross Trainers« auf. Mit ihm entfesselte der Swoosh eine Reihe gewagter, branchenprägender Designs, die sich für das Tragen im Kraftraum, auf dem Platz und auf dem Rasen eignen.
Der 1990 eingeführte Nike Air Cross Trainer 3 Low wurde mit ästhetischen Hinweisen auf den bekannten Air Trainer SC High designed. Der Schuh wurde durch ein subtiles Farbschema des Uppers definiert, das durch Farbakzente auf der Zunge und der Midsole ergänzt wurde - ein Merkmal, das sich auch in der 2020er Version wieder finden lässt!
Dieser neue Nike Air Cross Trainer 3 Low »Midnight Navy« kommt mit einer weißen Leder-Base auf dem Upper daher, die on top mit perforierten Details ausgestattet wurde. Blaue Akzente auf den Seitenpartien, der Ferse und auf der Zwischensohle sowie die roten Zunge vervollständigen den sportlichen Look!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
