"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_title_url","Sneaker_brand","Sneaker_brand_url","Sneaker_price","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url"
"Birkenstock Arizona BF Nubuck (stone)","https://www.43einhalb.com/p/birkenstock-arizona-bf-nubuck-stone-347368","https://43einhalb.com/media/217027/w/616/h/370/n/birkenstock-151213-arizona-bs-stone-1.jpg","Cloud Hi (grau)","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","On","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","€ 64,95","BITTE BEACHTE: Die meisten Birkenstock Modelle sind in zwei Weiten verfügbar – schmal (Narrow Fit) und normal (Regular Fit). Die Arizona Sandale hat eine besonders schmale Passform. Wenn du normale bis breitere Füße hast, dann wirst du in unserer Regular Fit - Auswahl fündig!
Bitte beachte generell, dass das anatomische Fußbett etwas Zeit benötigt, um sich deinem Fuß perfekt anzupassen.
Die Birkenstock Sandalen begeistern uns nun schon seit mehr als 240 Jahren und immer wieder beglückt uns das deutsche Traditionsunternehmen mit neuen Kreationen ihrer Klassiker. Der Erfolg von Birkenstock wurzelt in der Hingabe der Familie an die Kunst des orthopädisch inspirierten Schuhmacherhandwerks. Über die Jahrzehnte hinweg ist ein Erfahrungsschatz gereift, der seinesgleichen sucht und der von Generation zu Generation weitergegeben, kultiviert und weiter ausgebaut wird. Das Fußbett ist das Herzstück eines jeden Modells, passt sich individuell an und garantiert den höchsten Tragekomfort, also gib der Sandale ein bisschen Zeit um sich deinem Fuß perfekt anzupassen.
Heute begegnen sie uns überall und sind aus Lifestyle und Fashion nicht mehr wegzudenken, wobei man bei der Dauerpräsenz, die die Schlappen aufweisen, schon nicht mehr nur von einem Trend sprechen kann.
Der Birkentsock Arizona ist ein echter Klassiker, der Männer und Frauen seit Jahrzehnten begeistert. Die schlichte Sandale mit den zwei Riemen steht für zeitloses Design und hat sich längst zu einem komfortablen Kultschuh entwickelt. Besonders lässig zeigt sich die Sandale hier in einer Variante aus sehr hochwertigem, geöltem Nubukleder, das offenkundig verarbeitet wurde.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"New Balance WROAVTK (schwarz / weiß)","https://www.43einhalb.com/p/new-balance-wroavtk-schwarz-weiss-359845","https://43einhalb.com/media/219460/w/616/h/370/n/nb-777851-50-8-wroavtk-1.jpg","WROAVTK (schwarz / weiß)","","New Balance","","€ 89,95","Bequem, stylisch und in jeder Situation das Richtige, genau wie dein Lieblings-T-Shirt. Der Fresh Foam Roav Tee Shirt wurde mit einem Ultra Heel-Design entworfen und entwickelt. Er passt sich deinem Fuß an und bietet auch dank der hochwertigen, weichen Fresh Foam Mittelsohle ein nahtloses Tragegefühl. Die Details an den Schnürsenken und dem Ultra Heel-Absatz erinnern an ein weiches Baumwoll-T-Shirt und machen dieses Modell schnell zu deinem Lieblings-Sneaker!
Hier kommt der New Balance WROAVTK mit einem zwei geteilten Upper in Grau und Schwarz daher. Die weiße Zwischensohle, sowie die Gum-Außensohle runden den Look perfekt ab.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
"On Cloudventure Waterproof (olive / schwarz)","https://www.43einhalb.com/p/on-cloudventure-waterproof-olive-schwarz-363053","https://43einhalb.com/media/215252/w/616/h/370/n/on-2299761-cloudventure-waterproof-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 179,95","Born in the Swiss Alps
Mit dem Ziel vor Augen den perfekten Tailrunning-Schuh zu entwickeln, schickt die Schweizer Laufschuhmarke On nun den Cloudventure ins Rennen. Dieser meistert nicht nur Asphalt und Teer, sondern performt auch spielend leicht abseits der befestigten Wege. Dabei überlassen die Schweizer Entwickler nichts dem Zufall und designen jede Facette des Cloudventures in Richtung off-road Tauglichkeit. Das zweischichtige Obermaterial kombiniert eine weiche Sockenkonstruction für umfassenden Schutz und höchsten Komfort mit einer leichten atmungsaktiven Außenschicht. Diese geht nahtlos in die robuste Zehenkappe aus Gummi über, welche deine Zehen vor unangenehmen Stößen im Gelände schützt.
Herzstück des Cloudventures bleibt jedoch, wie bei allen anderen On-Modellen auch, die ausgefeilte Sohlenkonstruktion. Hier hat On dem Trailschuh gleich vier unterschiedliche Profile spendiert, um dir ultimativen Halt und Kontrolle im Gelände und auf der Straße zu gewährleisten. Dazu gibt es noch elf individuelle ""Cloud""-Elemente auf der patentierten CloudTec®-Sohle, die zu der vertikalen Standarddämpfung noch zusätzlich Aufprallkräfte horizontal abfedern.
Hier die technischen Details:
Läuferprofil: Läufer, die einen leichten Trailschuh mit vollem Dämpfungsschutz suchen.
Sprengung: 6 mm
1. Mikroprofiliertes Grip-Rubber attackiert jeden Stein.
- Basis Grip: Eine raffinierte Dreiecksprofilierung auf der gesamten Grip-Rubber-Sohle sorgt für absolute Rutschfestigkeit.
- Grip bei Landung und Abstoß: Pfeilförmige Elemente unter Ferse und Vorfuß ermöglichen einen sicheren Halt bei der Landung und eine rutschfreie Kraftübertragung beim Abstoß.
- Dirketionaler Grip: Kristalförmige Elemente erzeugen Halt und Stabilität ohne die Abrollbewegung zu beeinträchtigen.
- Seitlicher Grip: »Haifischzähne« an den Seiten der Sohle greifen das Gelände bei den extremen Bewegungen an.
2. Leichtes und komfortables 2-Lagen-Obermaterial für einen schnellen Aufstieg:
Die Cloudventure Familie ist mit raffiniertem 2-lagigen Obermaterial ausgestattet. Es kombiniert eine weiche Sockenkonstruktion für umfassenden Schutz und höchsten Komfort mit einer leichten atmungsaktiven Aussenschicht.
3. Intelligente CloudTec®-Dämpfung überzeugt beim Abstieg:
Die patentierte CloudTec®-Sohle bietet eine spezielle Dämpfung für den Abstieg. 11 individuelle Elemente, genannt „Clouds“, dehnen sich beim Aufprall nach hinten, um die bei der Landung wirkenden Aufprallkräfte abzufangen. Zusätzlich zur vertikalen Standarddämpfung sprechen wir hier von horizontaler Dämpfung. Tatsächlich dämpfen die intelligenten Clouds nur bei der Landung. Anschließend bieten sie im geschlossenen Zustand eine feste Plattform für einen kraftvollen Abstoß. Und da die CloudTec®-Sohle sowohl im Gelände als auch auf der Straße funktioniert, kannst du deinen Cloudventure nach dem Abstieg auch im Tal tragen.
4. Progressive Schnüren sorgt für angenehmes festen Halt ohne Druckstellen:
Die progressive Schnürung des Cloudventures umfaßt den gesamten Fußrücken und verhindert lokale Druckstellen. Die diagonale Führung der Schnürung folgt hierbei der natürlichen Bewegung des Fußes. Du wirst sie sehen, aber nicht spüren.
Fazit: Bei keinem anderen On sind die Wurzeln der Gründer, nämlich die Trails der Schweizer Berge, so deutlich zu spüren wie bei dem Cloudventure - Und jetzt Schuhe schüren und ab ins Beet!","https://43einhalb.com/media/196879/w/240/h/158/n/196879.jpg","https://www.43einhalb.com/marken/on"
"On Cloudrock Waterproof ""All Black""","https://www.43einhalb.com/p/on-cloudrock-waterproof-all-black-363113","https://43einhalb.com/media/214233/w/616/h/370/n/on-2399854-cloudrock-waterproof-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 219,95","Gelände & Elemente?
Kein Problem. Ausreden? Kein Thema. Der erste Speed-Wanderschuh von On bietet Halt, Tempo und Schutz bei jedem Wetter und ist bis zu 35% leichter als die Konkurrenz. Geboren in den Schweizer Alpen, der Cloudrock ist für maximale Leistung im Gebirge optimiert. Der ideale Begleiter über Stock & Stein.
Missiongrip™ und Stollen bieten Halt. Mit dem FlexLock-System schnürst du den Schuh wie gewohnt oder mit einer einzigen Ziehbewegung. Der 360° Spritzschuh schütz während das Speedboard™ für kraftvolle Abstöße & Stabilität sorgt. Gedämpfte Landung dank CloudTec® mit Zero-Gravity-Schaum.
Die robuste Membran ist wind- und wasserdicht. Zwei Mesh-Arten an Mittel- und Vorderfuß wirken stabilisierend und atmungsaktiv. Der hohe Abschluss ist flexibel und wie die Zunge gepolstert. Der gummierte Spritzschutz ist robust und doch leicht und flexibel - für den idealen Mix aus Tempo und Schutz.
Hier kommt der On Cloudrock Waterproof »All Black« in einem komplett schwarzen Colorway daher.","https://43einhalb.com/media/196879/w/240/h/158/n/196879.jpg","https://www.43einhalb.com/marken/on"
"Puma Fast Rider ""Ride On""","https://www.43einhalb.com/p/puma-fast-rider-ride-on-388564","https://43einhalb.com/media/217586/w/616/h/370/n/puma-372837-01-fast-rider-ride-on-1-kopie.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","€ 79,95","Releasedate: 01.12.2019 | Online: 00:01 Uhr.
In den 1980ern wurde der Puma »Fast Rider« erstmals als einer der komfortabelsten und innovativsten Laufschuhe veröffentlich und sicherte sich einen Platz als eine der ikonischsten Puma-Silhouetten. Ursprünglich als »Sate Of Art« Runner veröffentlicht schaffte er den sprung von der Laufbahn auf die Straße und machte sich besonders bei Hobby-Läufern einen Namen.
Treu dem Motto »Ride On« bringt Puma nun den Runner aus den 80ern als One-To-One Reissue zurück. Das atmungsaktive Nylon-Upper sorgt für extra Komfort, während die Leder und Suede Overlays für die nötige Stabilität sorgen. Die Außensohle mit der stoßdämpfenden Puma »Federbein« Technologie garantiert dir zusätzliche Dämpfung und Komfort. Beim Colorway haben sich die Designer für ein weißes Upper mit Blauen und Grauen Suede Details entschieden, sowie Schwarze und Roten Hits die den Look perfekt abrunden.","https://43einhalb.com/media/59719/w/240/h/158/n/59719.jpg","https://www.43einhalb.com/marken/puma"
"Birkenstock Gizeh BF Nubuck (stone)","https://www.43einhalb.com/p/birkenstock-gizeh-bf-nubuck-stone-347384","https://43einhalb.com/media/217081/w/616/h/370/n/birkenstock-43391-gizeh-bs-stone-1.jpg","Cloud Hi (grau)","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","On","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","€ 64,95","BITTE BEACHTE: Die meisten Birkenstock Modelle sind in zwei Weiten verfügbar – schmal (Narrow Fit) und normal (Regular Fit). Die Gizeh Sandale hat eine normale Passform. Wenn du besonders schmale und zierliche Füße hast, dann stöbere am besten in unserer Narrow Fit - Auswahl !
Bitte beachte generell, dass das anatomische Fußbett etwas Zeit benötigt, um sich deinem Fuß perfekt anzupassen.
Die Birkenstock Sandalen begeistern uns nun schon seit mehr als 240 Jahren und immer wieder beglückt uns das deutsche Traditionsunternehmen mit neuen Kreationen ihrer Klassiker. Der Erfolg von Birkenstock wurzelt in der Hingabe der Familie an die Kunst des orthopädisch inspirierten Schuhmacherhandwerks. Über die Jahrzehnte hinweg ist ein Erfahrungsschatz gereift, der seinesgleichen sucht und der von Generation zu Generation weitergegeben, kultiviert und weiter ausgebaut wird. Das Fußbett ist das Herzstück eines jeden Modells, passt sich individuell an und garantiert den höchsten Tragekomfort, also gib der Sandale ein bisschen Zeit um sich deinem Fuß perfekt anzupassen.
Heute begegnen sie uns überall und sind aus Lifestyle und Fashion nicht mehr wegzudenken, wobei man bei der Dauerpräsenz, die die Schlappen aufweisen, schon nicht mehr nur von einem Trend sprechen kann.
Der Birkenstock Gizeh, ein echter Klassiker, hat sich längst zu einem unverzichtbaren Fashion-Item entwickelt. Fashion und Funktion gehen bei dieser Zehensteg-Sandale eine gelungene Verbindung ein. Besonders lässig zeigt sich die Sandale hier in einer Variante aus sehr hochwertigem, geöltem Nubukleder, das offenkundig verarbeitet wurde.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"Nike Jordan XI Crib Bootie ""Bred""","https://www.43einhalb.com/p/nike-jordan-xi-crib-bootie-bred-354379","https://43einhalb.com/media/218728/w/616/h/370/n/nike-ci6165-061-jordan-xi-crib-1-kopie.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 49,95","Releasedate: 14.12.2019 | Online: 09:00 Uhr.
Einer der beliebtesten Sneaker aller Zeiten kommt zurück - der Nike Air Jordan 11 Retro »Bred« und diesmal für unsere kleinen43einhalber Girls und Boys.
Im klassischen Colorway Schwarz, Rot und Weiß kommt der Nike Air Jordan 11 Retro »Bred«. Ähnlich wie die »Space Jams« und die »Concord« Air Jordan 11 kommt der »Bred« Colorway mit dem Original hochgeschnitten Lackleder und einer 23 anstelle der 45 auf den Heel.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Birkenstock Gizeh BF (schwarz)","https://www.43einhalb.com/p/birkenstock-gizeh-bf-schwarz-347322","https://43einhalb.com/media/217077/w/616/h/370/n/birkenstock-43691-gizeh-bs-black-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 59,95","BITTE BEACHTE: Die meisten Birkenstock Modelle sind in zwei Weiten verfügbar – schmal (Narrow Fit) und normal (Regular Fit). Die Gizeh Sandale hat eine normale Passform. Wenn du besonders schmale und zierliche Füße hast, dann stöbere am besten in unserer Narrow Fit - Auswahl !
Bitte beachte generell, dass das anatomische Fußbett etwas Zeit benötigt, um sich deinem Fuß perfekt anzupassen.
Die Birkenstock Sandalen begeistern uns nun schon seit mehr als 240 Jahren und immer wieder beglückt uns das deutsche Traditionsunternehmen mit neuen Kreationen ihrer Klassiker. Der Erfolg von Birkenstock wurzelt in der Hingabe der Familie an die Kunst des orthopädisch inspirierten Schuhmacherhandwerks. Über die Jahrzehnte hinweg ist ein Erfahrungsschatz gereift, der seinesgleichen sucht und der von Generation zu Generation weitergegeben, kultiviert und weiter ausgebaut wird. Das Fußbett ist das Herzstück eines jeden Modells, passt sich individuell an und garantiert den höchsten Tragekomfort, also gib der Sandale ein bisschen Zeit um sich deinem Fuß perfekt anzupassen.
Heute begegnen sie uns überall und sind aus Lifestyle und Fashion nicht mehr wegzudenken, wobei man bei der Dauerpräsenz, die die Schlappen aufweisen, schon nicht mehr nur von einem Trend sprechen kann.
Der Birkenstock Gizeh, ein echter Klassiker, hat sich längst zu einem unverzichtbaren Fashion-Item entwickelt. Fashion und Funktion gehen bei dieser Zehensteg-Sandale eine gelungene Verbindung ein. Besonders lässig zeigt sich die Sandale hier in einer Variante aus sehr hochwertigem, geöltem Nubukleder, das offenkundig verarbeitet wurde.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"Puma Cali Wn's (weiß / rosa)","https://www.43einhalb.com/p/puma-cali-wns-weiss-rosa-388544","https://43einhalb.com/media/217635/w/616/h/370/n/puma-woman-369155-13-cali-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 89,95","Greetings from Cali! West Coast vibes remixed.
Nach seinem Debüt im Jahr 1983 erlangte der California schnell Berühmtheit als Terrace-Sneaker und schlug damit eine Brücke zwischen den Welten Tennis und Fußball. Dank seinem tiefliegenden Aufbau und dem relaxten Design war der Schuh allerdings auch in der Streetstyle-Szene beliebt.
Diese neu gestaltete Silhouette zeichnet sich durch eine aufregende Plattform und lockere Westküsten-Atmosphäre aus.
Der neue Puma Cali behält – wie sein Vorgänger – die breite Gummisohle, während das Upper aus Premium Vollleder für einen frischen, modernen Touch sorgt. Der fast ganz weiß gehaltene Colorway sorgt für einen cleanen Look und wird nur durch beige Details an der Sohle unterbrochen.
Das Gesicht zur neuen Kampagne des Puma Cali ist die Schauspielerin, Sängerin und Produzentin Selena Gomez. Vielleicht weil sie auch selbst in Hollywood, Kalifornien lebt.
Hier kommt der Puma Cali Wn's in einem weiß-rosa Colorway daher.","https://43einhalb.com/media/59719/w/240/h/158/n/59719.jpg","https://www.43einhalb.com/marken/puma"
"Nike Cortez Basic (weiß / rot)","https://www.43einhalb.com/p/nike-cortez-basic-weiss-rot-344659","https://43einhalb.com/media/247202/w/616/h/370/n/nike-819719-103-cortez-basic-leather-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","€ 84,95","Ein Laufschuh Pionier der allerersten Stunde! Der Nike Cortez aus dem Jahr 1972 revolutionierte die Läuferwelt mit der genialen und doch so einfachen Idee von Bill Bowerman. Seine Vision war es, einen Laufschuh zu entwerfen, der ebenso bequem wie luftdurchlässig ist. Das Ergebnis ließ nicht nur die Athleten schneller und länger laufen, sondern veränderte auch den Laufsport insgesamt.
Mit schlagartigem Erfolg wurde der Cortez ein großer Liebling in der Läuferszene. Sein hoher Tragekomfort und sein simpler und doch abwechslungsreicher Look machten ihm schnell auch als Fashion Ikone einen Namen. Er schaffte sogar den Sprung auf die große Leinwand. Und spielte eine Nebenrolle in einem unserer Lieblingsfilme ""Forrest Gump"" mit Tom Hanks.
Diese Version des Cortez kommt mit grauem Suede und dem kleinen Jewel-Swoosh. Wir wissen nicht, wie es Euch geht, aber wenn wir den Jewel-Swoosh sehen, verfallen wir direkt in Nostalgie! Das besondere Nike-Logo wurde von Sean McConell designed und tauchte erstmals im Jahr 1997 auf dem Air Force 1 Low auf. Schon bald zogen Nike auf anderen Modellen nach: Erst fand sich der Jewel-Swoosh auf dem Nike Cortez, später auch auf dem Air Max 1. Während der Air Force 1 Low »Jewel« vor allem an der Ostküste der USA an Beliebtheit gewann, feierten die Sneaker-Fans der Westküste den Cortez »Jewel«. In Europa stand dagegen der Air Max 1 »Jewel« hoch im Kurs.
Hier kommt der Nike Cortez Basic mit einem weißen Upper und blauen und roten Details daher.
Wir lieben den kleineren Swoosh und freuen uns sehr, Ihn ab sofort wieder in unserem Store begrüßen zu dürfen!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
